n_estimators,dataset,model,random_seed,auc,brier,brier_scaled,hosmer_lemshow,speigelhalter,reliability_small,reliability_large
335,hastie,CF-Iso,1,0.9846269895719906,0.049581078048658564,0.8015909450934701,0.5827126746426542,0.2562250144518504,0.00014230053887649626,8.014654172868848e-07
335,hastie,CF-Iso,2,0.9814781892945585,0.0532901090875223,0.7868391846973503,0.816015269168301,0.5809084761008879,7.853893384281265e-05,9.433191810255421e-07
335,hastie,CF-Iso,3,0.9796166753215343,0.057398805970729085,0.7703247470511673,0.9916309655461902,0.515276663280142,6.464651901155943e-05,2.3500146698524045e-06
335,hastie,CF-Iso,4,0.9860361752509701,0.04716536203356531,0.8112357802349778,0.568414037988229,0.4594264876794999,0.0003033676863245326,3.978967198802593e-05
335,hastie,CF-Iso,5,0.98528563916255,0.04839366909376659,0.8063942606596439,0.0,0.04925171198105456,0.0004229128053637345,3.0364614817337033e-06
335,hastie,CF-Iso,6,0.9819859763754154,0.05368655962758374,0.7852322847181369,0.6530027870494262,0.37619879768888986,0.00026045676899228126,2.5106525059848146e-06
335,hastie,CF-Iso,7,0.9878289988337031,0.04468863228071511,0.8212340298550502,0.04774598091713056,0.010008008892211156,0.0009040949851456696,4.3386135045740074e-05
335,hastie,CF-Iso,8,0.9806128146583304,0.05481693912755464,0.7806760965705035,0.0,0.5188791348598125,0.00021455037163731392,9.201347250971419e-07
335,hastie,CF-Iso,9,0.9853124999999999,0.04766648190638978,0.8093001701824734,0.9985819655518722,0.4741124008510631,5.948416080603646e-06,8.191553307843417e-07
360,hastie,CF-Iso,0,0.9802915406511297,0.056634765235602326,0.7732997299766853,0.4613420095478985,0.4554180685863721,7.781796109359278e-05,1.5801794083803286e-06
360,hastie,CF-Iso,1,0.983396686318023,0.05189225770719553,0.7923422762500962,0.07246334576648827,0.22069304149088498,0.00026413730781956694,3.8558595196668697e-07
360,hastie,CF-Iso,2,0.9822693018120922,0.05261322224817666,0.7895467368681589,0.9827648568024989,0.5882976025252405,7.549304795109998e-05,1.996476474118485e-06
360,hastie,CF-Iso,3,0.979541538029251,0.05787492393042944,0.7684196113784247,0.8747115225019567,0.7855066902495766,0.00011242299336957964,7.890651103815373e-07
360,hastie,CF-Iso,4,0.9853133372613978,0.04846438007726365,0.8060368775464986,0.3486509511855349,0.6146352313883352,0.0004916613553725917,5.2158012466911175e-05
360,hastie,CF-Iso,5,0.9858815125449016,0.047031790544436396,0.8118426490206084,0.0,0.3723507716782639,0.0002514955133503898,4.843785199496878e-06
360,hastie,CF-Iso,6,0.9832589925659232,0.05145174382739309,0.7941724419346211,0.8803139795086037,0.23142413537459627,0.00013701627800180528,1.0939876576464802e-05
360,hastie,CF-Iso,7,0.9887577249388406,0.04297781767214079,0.8280777262859191,0.04972757062780431,0.00192318353451912,0.00036433438476953146,3.321069916225864e-05
360,hastie,CF-Iso,8,0.982010505800596,0.05273684237110945,0.7889986141607874,0.0,0.9268059978329308,0.00023576517455721255,2.2749245894239915e-07
360,hastie,CF-Iso,9,0.985870821479374,0.04692228547911564,0.812277485192016,0.9026660741683372,0.08612984233792083,7.681938717823739e-05,3.0792810714087933e-06
385,hastie,CF-Iso,0,0.9806015388720868,0.05644136238269879,0.7740738919034473,0.0,0.645699787542847,0.0007329775985002517,1.0149167362120128e-05
385,hastie,CF-Iso,1,0.9838984561850639,0.05120467060126911,0.7950937998801167,0.5877147869328572,0.8540117576730266,0.0001756786774643118,6.032585807229328e-07
385,hastie,CF-Iso,2,0.9823166352295737,0.0516693198849269,0.7933223530333644,0.028047381607250843,0.6663200361251989,3.685754458079555e-05,1.2601191224351944e-10
385,hastie,CF-Iso,3,0.9788975358524927,0.058943721081932327,0.7641429325874478,0.9774743711909599,0.3576146487983838,0.00011439443716856094,3.91098249312166e-06
385,hastie,CF-Iso,4,0.985901657569121,0.04719724206944552,0.8111081906260031,0.2073998966388757,0.8066107956771235,0.00026614421685663893,2.695122137215139e-05
385,hastie,CF-Iso,5,0.9855956889083093,0.047313937079395844,0.8107138817763372,0.0,0.4057576131106557,0.0003275336467109887,4.822624664571558e-06
385,hastie,CF-Iso,6,0.9826362636263626,0.05291968962691383,0.7883000714994947,0.7565386801004457,0.8109111445194963,0.00022786417927073352,2.750428980427549e-05
