depth,dataset,model,random_seed,auc,brier,brier_scaled,hosmer_lemshow,speigelhalter,reliability_small,reliability_large
21,hastie,CF-Iso,0,0.9807796655399394,0.05433047556757126,0.7825234477369947,0.05403381217901582,0.3379199187977413,0.0006368609293035415,1.516935342656251e-05
21,hastie,CF-Iso,1,0.9834591574445796,0.049870620688154975,0.8004322796566024,0.12445712723481828,0.014062428052432008,0.0004935617271562707,8.599524011288255e-05
21,hastie,CF-Iso,2,0.984777528493384,0.04864096162487539,0.8054358076086008,0.022867756279747353,0.005402891717496703,0.0009728218692804077,3.5696950266535163e-05
21,hastie,CF-Iso,3,0.9840464410710221,0.0501637147698641,0.7992751994789398,0.33596081253686216,0.028642438844537595,0.0001444240644042763,1.769390813582889e-07
21,hastie,CF-Iso,4,0.9852408533534925,0.04799377118049955,0.8079203385734474,0.02005781292583486,0.004125279239829164,0.00040360241601444455,3.9579690997556925e-05
21,hastie,CF-Iso,5,0.9876955813799457,0.0450789242628428,0.8196553676542835,1.0962095827737883e-06,2.0317188293586202e-08,0.0018189589308025874,3.4027371624791966e-05
21,hastie,CF-Iso,6,0.9839628407285174,0.05016229204783059,0.7993307648851662,0.4196132472048877,0.08690267585687769,0.00024902116471504747,2.4779300782621047e-07
21,hastie,CF-Iso,7,0.9862513423081299,0.04690032567993321,0.812386690028429,0.00041971443659705177,0.00019248792049721974,0.000942515940693045,7.644948588467264e-05
21,hastie,CF-Iso,8,0.9840396919389142,0.04900122722968145,0.8039449009759241,0.8714970385697987,0.2668606209473432,6.643194906947831e-05,1.217538540644342e-05
21,hastie,CF-Iso,9,0.9872739598150782,0.04462461532043963,0.8214698000160221,0.020450499700179647,0.0007739898773366164,0.0004143427120473116,7.519185949859098e-06
23,hastie,CF-Iso,0,0.9817808219178082,0.053940789318831804,0.7840833019616232,0.1291449665722324,0.6363044033393821,0.000296058875135951,1.0471818370698234e-05
23,hastie,CF-Iso,1,0.9838135310236951,0.050477114356013424,0.7980052683816862,0.15882976969108686,0.02865131799264847,0.00019815720493700754,2.9040681098873268e-05
23,hastie,CF-Iso,2,0.9836126375335779,0.04922607828906632,0.8030953367910001,0.2606921190789765,0.03629950279756311,0.0002838307636316846,2.2042588518434598e-05
23,hastie,CF-Iso,3,0.9858895277287731,0.047841145273881995,0.8085687157369778,0.002866270153658479,0.0025559518672961692,0.0006129674303811385,2.7371352848127126e-05
23,hastie,CF-Iso,4,0.985659303398517,0.046386278618705964,0.8143538114892092,0.02629206134260853,0.013212266958606243,0.0005481102798813163,6.137641572662965e-05
23,hastie,CF-Iso,5,0.9862424593456994,0.046581016521892026,0.8136460344539599,0.0002261232456722828,2.031197864422643e-06,0.0011330153429116926,1.7638731499536344e-06
23,hastie,CF-Iso,6,0.9842350901756842,0.04877429654930842,0.8048833021329796,0.0,0.06709713989326796,0.0001167867447137954,9.29195935960729e-06
23,hastie,CF-Iso,7,0.9860297725721113,0.04691379694506706,0.812332801519029,0.004794539640904372,0.00018983273021070928,0.0007032832211623833,2.4128387380419087e-05
23,hastie,CF-Iso,8,0.9836642624956433,0.049730323622349165,0.8010277686193699,0.8763528077843574,0.4176107311582633,0.00012626906375334327,1.22689575628018e-05
23,hastie,CF-Iso,9,0.9854734174964438,0.04788329775154584,0.8084327525942778,0.07717939544812169,0.02021365508295936,0.0003021006288049372,1.9468772488956825e-05
25,hastie,CF-Iso,0,0.9814585927770859,0.05419651477074906,0.7830596722394851,0.010805584479793962,0.40842221207223284,0.0004184186476296974,2.5533631590313806e-05
25,hastie,CF-Iso,1,0.9841848007082136,0.04937457334095165,0.8024173168768683,0.0,0.0277727550797852,0.00039586429919388533,7.076004574241674e-05
25,hastie,CF-Iso,2,0.9824079687252778,0.051472316377587805,0.7941103684636371,0.0002476997632118172,0.16032828985303238,0.0004180830555776677,3.8958099351889436e-05
25,hastie,CF-Iso,3,0.9849998844041657,0.04927230139119759,0.8028420958588334,0.08059398982299781,0.017422815692321222,0.0003026350864366123,8.64306425107026e-06
25,hastie,CF-Iso,4,0.9864599615346132,0.04642293676502789,0.8142070990271366,0.05944531484325877,0.01279373074001368,0.0005902887296836398,6.113920810625243e-05
25,hastie,CF-Iso,5,0.9877507013347475,0.0432730169682733,0.8268801560097154,6.411477166901047e-05,1.9120956376878043e-06,0.0010858384342488571,5.3249643131633335e-05
25,hastie,CF-Iso,6,0.9842568701314577,0.04864549075125003,0.8053985768526851,0.016712511518560014,0.022512250949493468,0.001003196828059536,2.931393405299595e-06
25,hastie,CF-Iso,7,0.9858575393269613,0.04638415459698566,0.8144515065084739,0.005377003961893445,0.0018945261717629477,0.0005618440092230462,4.205315789907628e-05
25,hastie,CF-Iso,8,0.9836220294617646,0.049596922852623494,0.80156150833564,0.8086085857909333,0.4198690836509035,0.00024019093410307624,3.6727653656280107e-05
25,hastie,CF-Iso,9,0.9876664740398293,0.04501729525101068,0.8198988010050248,0.0052591479617973835,0.003815205144552888,0.0009694185700994671,4.8075629749113564e-05
27,hastie,CF-Iso,0,0.9822909624621954,0.051685347636420756,0.7931114887351953,0.40904230356299354,0.15283064367412494,0.00010991573684981735,1.6346940467161543e-06
27,hastie,CF-Iso,1,0.9831401322965053,0.050720056037381216,0.7970330864265,0.25845806568552165,0.021824647067270844,0.00047732933326446824,4.993892619264513e-05
27,hastie,CF-Iso,2,0.9829026362713533,0.04969694962703149,0.8012118480907151,0.0,0.07166591619311101,0.0006490959832408767,3.46900308777373e-05
27,hastie,CF-Iso,3,0.9849676509503755,0.04861143114561993,0.8054864982684725,0.17317009091733915,0.04152724927746354,0.00038394755686189247,1.5101482452841944e-05
27,hastie,CF-Iso,4,0.9866100432457672,0.04613558215419698,0.815357143605842,0.021451781283542415,0.0018042812870609328,0.0006766602348666201,4.446710251108815e-05
27,hastie,CF-Iso,5,0.9869885790564619,0.044646421225573475,0.8213856574187408,0.00022762578965318525,2.315608860932302e-06,0.0012833330002823022,3.38056888652941e-05
27,hastie,CF-Iso,6,0.9843511017768443,0.049542089943130675,0.8018118214096183,0.4626010021195258,0.05425849716852888,0.00022349431783553935,4.499384958359989e-06
27,hastie,CF-Iso,7,0.986869159626216,0.045219244384849464,0.8191114455931201,0.0003577215855301574,4.1579907222132145e-05,0.0010493352421248254,7.635121641247997e-05
27,hastie,CF-Iso,8,0.9834853277994723,0.04981774684264377,0.8006779861938905,0.0,0.44703277213940096,0.00021394745432864334,4.347658526396251e-05
27,hastie,CF-Iso,9,0.9868083214793741,0.0454250336225485,0.8182675575200318,0.025041923570026103,0.0007325619264446528,0.0005617825229289888,1.7631069427460445e-05
29,hastie,CF-Iso,0,0.9825169009073118,0.05182145131760868,0.7925666865955888,0.0458605591717558,0.05125638508178493,0.0005915213052244999,1.6765891982595644e-05
29,hastie,CF-Iso,1,0.9834460407311745,0.05079276786192829,0.7967421148511188,0.06738832714682996,0.43880614219737835,0.0003656185557528545,8.226218957479805e-05
29,hastie,CF-Iso,2,0.9846301948981241,0.04727579698139406,0.8108964758903809,0.0,0.005120057793957277,0.0008335510867942591,4.4928807629509786e-05
